id,fecha_publicacion,ciudad,zona,tipo,area,dormitorios,banos,precio_millones,precio_m2,segmento,precio_estimado,diferencia_pct,estado_precio,dias_publicado,esta_activo
dj8y9s5c9/KqK/8UB4UTdw==,2021-04-07,Medellín,El Poblado,Casa,332.0,4.0,2.0,1100.0,3313253.012048193,Económicos estándar,813.8571554509584,35.158853446522784,Por encima del valor estimado,,True
bavWZjFXZVXYoO8hvOnZqA==,2021-04-07,Cali,Sin dato,Casa,110.0,4.0,3.0,200.0,1818181.8181818181,Económicos estándar,298.0321241514253,-32.89314010378853,Por debajo del valor estimado,,True
ZSLduPXPiPhQy9u0qOwvhw==,2021-04-07,Barranquilla,Sin dato,Casa,624.0,4.0,3.0,850.0,1362179.4871794872,Grandes propiedades,1197.2873636522488,-29.0061829929342,Por debajo del valor estimado,,True
xPOg8Mh8cQ+zo5b6/bHq8g==,2021-04-07,Cali,Sin dato,Apartamento,112.0,4.0,3.0,385.0,3437500.0,Económicos estándar,334.47726570248835,15.104983052106965,Por encima del valor estimado,,True
Z4Zsi1A7WswjshwneX3Qjw==,2021-04-07,Bogotá D.C,Zona Occidental,Casa,229.0,5.0,3.0,1300.0,5676855.895196507,Amplios de precio alto,847.5876720356877,53.376463921158056,Por encima del valor estimado,19.0,False
sR+BZVyYmjmEDgB7S4/eCA==,2021-04-07,Cali,Sin dato,Casa,270.0,5.0,4.0,530.0,1962962.962962963,Grandes propiedades,575.8169580550543,-7.956861536313721,Cerca del valor estimado,,True
mbNQVen/uaZYgJzAJQEmWA==,2021-04-07,Cali,Sin dato,Casa,196.0,5.0,4.0,360.0,1836734.693877551,Grandes propiedades,456.31337314176386,-21.10684867257703,Por debajo del valor estimado,70.0,False
hKd5xJp6PoT5OKi7XZn2uw==,2020-09-11,Sabaneta,Sin dato,Apartamento,42.0,1.0,1.0,150.0,3571428.5714285714,Compactos en zona cara,219.08553265362474,-31.53358956058924,Por debajo del valor estimado,20.0,False
fnUbsuF76w5MePxfO/MGLg==,2020-09-11,Medellín,Belén,Apartamento,42.0,1.0,1.0,230.0,5476190.476190476,Compactos en zona cara,224.28086549043084,2.549987711641487,Cerca del valor estimado,4.0,False
oRzugXkhWh8xk7pbzxSd2w==,2020-09-11,Barranquilla,Ríomar,Apartamento,42.0,1.0,1.0,170.0,4047619.0476190476,Compactos en zona cara,177.60195771321864,-4.280334412469619,Cerca del valor estimado,63.0,False
